Skill_Category,Unique_Technologies,Hot_Technologies,In_Demand_Technologies,Hot_Technology_Pct,In_Demand_Pct
AI,3,2,2,66.67,66.67
Cybersecurity,17,0,1,0.0,5.88
Data Analytics,27,13,11,48.15,40.74
