Occupation,Median_Salary
Cyber security professionals,55662.06896551724
"Actuaries, economists and statisticians",54731.03448275862
Programmers and software development professionals,52868.96551724138
Data analysts,39920.68965517241
Database administrators and web content technicians,31717.241379310344
