Year,2134 Programmers and software development professionals,2135 Cyber security professionals,"2433 Actuaries, economists and statisticians",3133 Database administrators and web content technicians,3544 Data analysts
2023,16183.75,2457.75,2449.75,1592.25,2466.5833333333335
2024,8247.416666666666,1428.5833333333333,1543.4166666666667,1111.1666666666667,1459.6666666666667
2025,9306.8,1836.8,1949.0,1151.2,1616.8
