City,Area_Code,Median_Annual_Salary,Year,Birmingham_Baseline,Salary_Premium_GBP,Salary_Premium_Pct
  Birmingham,E08000025,28648,2023,28648,0,0.0
  Birmingham,E08000025,32133,2024,32133,0,0.0
  Birmingham,E08000025,33374,2025,33374,0,0.0
  Manchester,E08000003,33458,2023,28648,4810,16.79
  Manchester,E08000003,33272,2024,32133,1139,3.54
  Manchester,E08000003,36554,2025,33374,3180,9.53
London ,E12000007,38943,2023,28648,10295,35.94
London ,E12000007,41586,2024,32133,9453,29.42
London ,E12000007,43190,2025,33374,9816,29.41
