Occupation,Average_Demand,Average_Salary
"Actuaries, economists and statisticians",1988.3793103448277,54731.03448275862
Cyber security professionals,1924.8275862068965,55662.06896551724
Data analysts,1903.4137931034484,39920.68965517241
Database administrators and web content technicians,1317.1379310344828,31717.241379310344
Programmers and software development professionals,11714.068965517241,52868.96551724138
