Year,SOC_Code,Occupation,Skill_Category,Observed_Months,Total_Job_Adverts,Average_Monthly_Adverts,YoY_Demand_Growth_Pct,Median_Annual_Salary,Salary_Growth_Pct
2023,2134,Programmers and software development professionals,Software Development,12,194205.0,16183.8,,49444,
2024,2134,Programmers and software development professionals,Software Development,12,98969.0,8247.4,-49.04,53363,7.93
2025,2134,Programmers and software development professionals,Software Development,12,113816.0,9484.7,15.0,55587,4.17
2023,2135,Cyber security professionals,Cybersecurity,12,29493.0,2457.8,,45573,
2024,2135,Cyber security professionals,Cybersecurity,12,17143.0,1428.6,-41.87,48555,6.54
2025,2135,Cyber security professionals,Cybersecurity,10,18460.0,1846.0,29.22,54816,12.89
2023,3544,Data analysts,Data Analytics,12,29599.0,2466.6,,33695,
2024,3544,Data analysts,Data Analytics,12,17516.0,1459.7,-40.82,34125,1.28
2025,3544,Data analysts,Data Analytics,12,19877.0,1656.4,13.48,38107,11.67
