Skill_Category,Average_Monthly_Adverts_2023,Average_Monthly_Adverts_2025,Median_Annual_Salary_2023,Median_Annual_Salary_2025,Demand_Change_Pct,Salary_Change_Pct
Cybersecurity,2457.8,1846.0,45573.0,54816.0,-24.89,20.28
Data Analytics,2466.6,1656.4,33695.0,38107.0,-32.85,13.09
Software Development,16183.8,9484.7,49444.0,55587.0,-41.39,12.42
